"y" "size" "center" "variance" "even" "cramer" "ratio" "PNT"
13 106 3750 963 FALSE TRUE 1.028671896132 11.3153814577983
0 2 3804 1 FALSE FALSE 1.00052590060479 0.213178466815577
0 10 3810 11 FALSE FALSE 1.00262812089356 1.06572160605384
3 19 3824.5 35 TRUE FALSE 1.00498034076016 2.02405993647847
17 151 3909.5 1938 TRUE TRUE 1.03938445487741 16.0492083763323
5 31 4000.5 88 TRUE FALSE 1.0077791718946 3.28695065925291
20 161 4096.5 2200.5 TRUE TRUE 1.04008964143426 17.0290244516083
16 121 4237.5 1250.5 TRUE TRUE 1.02896815896576 12.7534662519436
0 1 4298.5 0.5 TRUE FALSE 1.00023266635644 0.105243899070842
3 45 4321.5 180.166666666667 TRUE FALSE 1.01046755059316 4.73339642738051
9 82 4385 581 FALSE TRUE 1.01887661141805 8.61235900962402
12 93 4472.5 744.166666666667 TRUE TRUE 1.02101220063263 9.74771915925623
6 70 4554 426 FALSE FALSE 1.01549015268865 7.32336471965414
4 32 4605 93.5 FALSE FALSE 1.0069731967749 3.34400695547447
8 56 4649 275.5 FALSE FALSE 1.01211858904999 5.84633366513924
1 6 4680 4.66666666666667 FALSE FALSE 1.00128287363695 0.625964369453641
1 13 4689.5 17.5 TRUE FALSE 1.00277599829169 1.35596987797032
6 55 4723.5 266 TRUE FALSE 1.01171209540034 5.7325557610634
6 48 4775 204.166666666667 FALSE FALSE 1.01010313618186 4.99741789799532
1 11 4804.5 13 TRUE FALSE 1.00229214419671 1.14451730259145
4 60 4840 315.166666666667 FALSE FALSE 1.01247401247401 6.23816633385809
5 44 4892 172.5 FALSE FALSE 1.00903490759754 4.56965843770115
7 48 4938 204.166666666667 FALSE FALSE 1.00976800976801 4.98031148041355
2 7 4965.5 6 TRUE FALSE 1.00141072148327 0.725888296833773
1 4 4971 2.5 FALSE FALSE 1.00080499094385 0.414744588369786
8 55 5000.5 266 TRUE FALSE 1.01105972250151 5.69932030002497
5 54 5055 256.666666666667 FALSE FALSE 1.01073985680191 5.58952559346972
0 2 5083 1 FALSE FALSE 1.00039354584809 0.206904374806186
11 95 5131.5 776 TRUE TRUE 1.01868607395751 9.81840417114267
1 12 5185 15.1666666666667 FALSE FALSE 1.00231704962348 1.23891885482772
6 52 5217 238.5 FALSE FALSE 1.01001733769987 5.36527850310551
14 150 5318 1912.66666666667 FALSE TRUE 1.02860957467099 15.4468082796311
2 15 5400.5 22.6666666666667 TRUE FALSE 1.00278138327462 1.54227660865695
0 2 5409 1 FALSE FALSE 1.00036982248521 0.205605131793504
8 50 5435 221 FALSE FALSE 1.00924214417745 5.13760945394074
4 24 5472 54.1666666666667 FALSE FALSE 1.0043956043956 2.4643622182698
11 93 5530.5 744.166666666667 TRUE TRUE 1.01695842450766 9.53930040430043
2 20 5587 38.5 FALSE FALSE 1.00358615743231 2.04933357934885
22 203 5698.5 3485 TRUE TRUE 1.03626943005181 20.7597505683427
21 168 5884 2394.16666666667 FALSE TRUE 1.02896551724138 17.1251594825558
3 40 5988 143.5 FALSE FALSE 1.00670241286863 4.07025239129712
1 18 6017 31.6666666666667 FALSE FALSE 1.00299600532623 1.83073057515605
15 109 6080.5 1017.5 TRUE TRUE 1.01808828410222 11.0744446153516
9 82 6176 581 FALSE TRUE 1.01336593317033 8.31833245322616
12 96 6265 792.166666666667 FALSE TRUE 1.01544153128519 9.72462480884815
